state,fips,region,year,quarter,time,ym,low_wage_emp,ln_emp,min_wage,ln_min_wage,unemp_rate,above_fed,ever_treated,treated,g,first_treat_year,first_treat_quarter,first_treat_time,post,did,event_time
AK,2,West,2018,1,1,2018Q1,25.1,3.2228678461377385,9.84,2.286455711064162,2.9398556527340065,0,True,1,9.0,2020.0,1.0,9.0,0,0,-8.0
AK,2,West,2018,2,2,2018Q2,25.3,3.2308043957334744,9.84,2.286455711064162,3.8087312612611584,0,True,1,9.0,2020.0,1.0,9.0,0,0,-7.0
AK,2,West,2018,3,3,2018Q3,24.9,3.214867803470662,9.84,2.286455711064162,3.668553880827486,0,True,1,9.0,2020.0,1.0,9.0,0,0,-6.0
AK,2,West,2018,4,4,2018Q4,24.6,3.202746442938317,9.84,2.286455711064162,2.866457557257329,0,True,1,9.0,2020.0,1.0,9.0,0,0,-5.0
AK,2,West,2019,1,5,2019Q1,25.7,3.246490991901174,9.89,2.2915241456346207,3.395206537289217,0,True,1,9.0,2020.0,1.0,9.0,0,0,-4.0
AK,2,West,2019,2,6,2019Q2,25.8,3.250374491927572,9.89,2.2915241456346207,3.000898305406336,0,True,1,9.0,2020.0,1.0,9.0,0,0,-3.0
AK,2,West,2019,3,7,2019Q3,26.1,3.261935314328648,9.89,2.2915241456346207,3.0126172160298657,0,True,1,9.0,2020.0,1.0,9.0,0,0,-2.0
AK,2,West,2019,4,8,2019Q4,26.0,3.258096538021482,9.89,2.2915241456346207,2.4817341597192155,0,True,1,9.0,2020.0,1.0,9.0,0,0,-1.0
AK,2,West,2020,1,9,2020Q1,23.8,3.169685580677429,10.19,2.321406847234633,3.234777868264812,1,True,1,9.0,2020.0,1.0,9.0,1,1,0.0
AK,2,West,2020,2,10,2020Q2,15.9,2.766319109226186,10.19,2.321406847234633,12.80293649661587,1,True,1,9.0,2020.0,1.0,9.0,1,1,1.0
AK,2,West,2020,3,11,2020Q3,20.9,3.039749158970765,10.19,2.321406847234633,9.191466765853423,1,True,1,9.0,2020.0,1.0,9.0,1,1,2.0
AK,2,West,2020,4,12,2020Q4,20.0,2.995732273553991,10.19,2.321406847234633,6.441890263105968,1,True,1,9.0,2020.0,1.0,9.0,1,1,3.0
AK,2,West,2021,1,13,2021Q1,20.3,3.0106208860477417,10.34,2.336019869080283,5.860286106108891,1,True,1,9.0,2020.0,1.0,9.0,1,1,4.0
AK,2,West,2021,2,14,2021Q2,22.1,3.095577608523707,10.34,2.336019869080283,5.3689896579143515,1,True,1,9.0,2020.0,1.0,9.0,1,1,5.0
AK,2,West,2021,3,15,2021Q3,22.4,3.109060958860994,10.34,2.336019869080283,4.543544201510313,1,True,1,9.0,2020.0,1.0,9.0,1,1,6.0
AK,2,West,2021,4,16,2021Q4,22.7,3.122364924487357,10.34,2.336019869080283,4.107852302856079,1,True,1,9.0,2020.0,1.0,9.0,1,1,7.0
AK,2,West,2022,1,17,2022Q1,24.1,3.1822118404966093,10.34,2.336019869080283,3.5109305569207416,1,True,1,9.0,2020.0,1.0,9.0,1,1,8.0
AK,2,West,2022,2,18,2022Q2,24.2,3.186352633162641,10.34,2.336019869080283,3.032952434459696,1,True,1,9.0,2020.0,1.0,9.0,1,1,9.0
AK,2,West,2022,3,19,2022Q3,24.5,3.1986731175506815,10.34,2.336019869080283,2.9171546981394085,1,True,1,9.0,2020.0,1.0,9.0,1,1,10.0
AK,2,West,2022,4,20,2022Q4,24.5,3.1986731175506815,10.34,2.336019869080283,3.275093740622831,1,True,1,9.0,2020.0,1.0,9.0,1,1,11.0
AK,2,West,2023,1,21,2023Q1,24.7,3.2068032436339315,10.85,2.3841650799864684,2.9635257153893413,1,True,1,9.0,2020.0,1.0,9.0,1,1,12.0
AK,2,West,2023,2,22,2023Q2,24.5,3.1986731175506815,10.85,2.3841650799864684,3.1219619978460496,1,True,1,9.0,2020.0,1.0,9.0,1,1,13.0
AK,2,West,2023,3,23,2023Q3,24.5,3.1986731175506815,10.85,2.3841650799864684,3.2547852203925003,1,True,1,9.0,2020.0,1.0,9.0,1,1,14.0
AK,2,West,2023,4,24,2023Q4,24.4,3.1945831322991562,10.85,2.3841650799864684,3.440425030518925,1,True,1,9.0,2020.0,1.0,9.0,1,1,15.0
AK,2,West,2024,1,25,2024Q1,24.2,3.186352633162641,11.73,2.462149662665384,2.944084622365295,1,True,1,9.0,2020.0,1.0,9.0,1,1,16.0
AK,2,West,2024,2,26,2024Q2,23.8,3.169685580677429,11.73,2.462149662665384,3.9512180358493887,1,True,1,9.0,2020.0,1.0,9.0,1,1,17.0
AK,2,West,2024,3,27,2024Q3,25.4,3.2347491740244907,11.73,2.462149662665384,4.6571142690078196,1,True,1,9.0,2020.0,1.0,9.0,1,1,18.0
AK,2,West,2024,4,28,2024Q4,24.4,3.1945831322991562,11.73,2.462149662665384,4.081712273826782,1,True,1,9.0,2020.0,1.0,9.0,1,1,19.0
AL,1,South,2018,1,1,2018Q1,142.7,4.960744524482791,7.25,1.9810014688665833,3.257648853447119,0,False,0,,,,,0,0,
AL,1,South,2018,2,2,2018Q2,147.2,4.991792206294776,7.25,1.9810014688665833,2.425651319967761,0,False,0,,,,,0,0,
AL,1,South,2018,3,3,2018Q3,148.1,4.997887721273753,7.25,1.9810014688665833,2.9517885573950196,0,False,0,,,,,0,0,
AL,1,South,2018,4,4,2018Q4,145.0,4.976733742420574,7.25,1.9810014688665833,2.639038682451686,0,False,0,,,,,0,0,
AL,1,South,2019,1,5,2019Q1,148.8,5.002603122398992,7.25,1.9810014688665833,2.7514867664847933,0,False,0,,,,,0,0,
AL,1,South,2019,2,6,2019Q2,152.5,5.0271645960474665,7.25,1.9810014688665833,2.8380662532288414,0,False,0,,,,,0,0,
AL,1,South,2019,3,7,2019Q3,151.4,5.019925341003349,7.25,1.9810014688665833,2.9638632233253666,0,False,0,,,,,0,0,
AL,1,South,2019,4,8,2019Q4,150.1,5.011301738639416,7.25,1.9810014688665833,2.8339474023114404,0,False,0,,,,,0,0,
AL,1,South,2020,1,9,2020Q1,142.4,4.958639998977875,7.25,1.9810014688665833,2.602798109609789,0,False,0,,,,,0,0,
AL,1,South,2020,2,10,2020Q2,92.8,4.530446639792155,7.25,1.9810014688665833,11.961799653821217,0,False,0,,,,,0,0,
AL,1,South,2020,3,11,2020Q3,127.7,4.8496837630384935,7.25,1.9810014688665833,7.953942395997651,0,False,0,,,,,0,0,
AL,1,South,2020,4,12,2020Q4,122.0,4.804021044733257,7.25,1.9810014688665833,6.047226904713289,0,False,0,,,,,0,0,
AL,1,South,2021,1,13,2021Q1,116.8,4.760463070394127,7.25,1.9810014688665833,5.110811095222995,0,False,0,,,,,0,0,
AL,1,South,2021,2,14,2021Q2,130.5,4.871373226762748,7.25,1.9810014688665833,4.898865673577436,0,False,0,,,,,0,0,
AL,1,South,2021,3,15,2021Q3,134.5,4.901564199041894,7.25,1.9810014688665833,3.822662874374773,0,False,0,,,,,0,0,
AL,1,South,2021,4,16,2021Q4,135.6,4.909709375506295,7.25,1.9810014688665833,2.89570137935238,0,False,0,,,,,0,0,
AL,1,South,2022,1,17,2022Q1,139.1,4.935193098929397,7.25,1.9810014688665833,3.09832111329484,0,False,0,,,,,0,0,
AL,1,South,2022,2,18,2022Q2,142.4,4.958639998977875,7.25,1.9810014688665833,3.061435375147828,0,False,0,,,,,0,0,
AL,1,South,2022,3,19,2022Q3,143.9,4.969118613893322,7.25,1.9810014688665833,2.632960330102481,0,False,0,,,,,0,0,
AL,1,South,2022,4,20,2022Q4,145.5,4.980176086611547,7.25,1.9810014688665833,3.0556232359441884,0,False,0,,,,,0,0,
AL,1,South,2023,1,21,2023Q1,145.1,4.977423159890142,7.25,1.9810014688665833,2.6630541740908713,0,False,0,,,,,0,0,
AL,1,South,2023,2,22,2023Q2,144.7,4.974662633637438,7.25,1.9810014688665833,2.361027440195044,0,False,0,,,,,0,0,
AL,1,South,2023,3,23,2023Q3,146.8,4.9890711161804155,7.25,1.9810014688665833,2.8629820482291053,0,False,0,,,,,0,0,
AL,1,South,2023,4,24,2023Q4,142.8,4.9614450499054845,7.25,1.9810014688665833,3.215974336516372,0,False,0,,,,,0,0,
AL,1,South,2024,1,25,2024Q1,144.4,4.972587226458726,7.25,1.9810014688665833,2.7438155548435956,0,False,0,,,,,0,0,
AL,1,South,2024,2,26,2024Q2,145.1,4.977423159890142,7.25,1.9810014688665833,3.5239564633207827,0,False,0,,,,,0,0,
AL,1,South,2024,3,27,2024Q3,145.6,4.980863135762585,7.25,1.9810014688665833,2.468639835349658,0,False,0,,,,,0,0,
AL,1,South,2024,4,28,2024Q4,148.4,4.99991133073328,7.25,1.9810014688665833,3.4011341178891477,0,False,0,,,,,0,0,
AR,5,South,2018,1,1,2018Q1,110.4,4.704110133842995,8.5,2.1400661634962708,2.6126089537187975,0,True,1,13.0,2021.0,1.0,13.0,0,0,-12.0
AR,5,South,2018,2,2,2018Q2,113.0,4.727387818712341,8.5,2.1400661634962708,2.348196742020369,0,True,1,13.0,2021.0,1.0,13.0,0,0,-11.0
AR,5,South,2018,3,3,2018Q3,114.9,4.74406218485471,8.5,2.1400661634962708,2.526691879689727,0,True,1,13.0,2021.0,1.0,13.0,0,0,-10.0
AR,5,South,2018,4,4,2018Q4,111.9,4.71760561531788,8.5,2.1400661634962708,2.623713376111894,0,True,1,13.0,2021.0,1.0,13.0,0,0,-9.0
AR,5,South,2019,1,5,2019Q1,113.2,4.729156165769083,9.25,2.224623551524334,2.5533924412491693,0,True,1,13.0,2021.0,1.0,13.0,0,0,-8.0
AR,5,South,2019,2,6,2019Q2,113.7,4.73356340075649,9.25,2.224623551524334,2.270611248991237,0,True,1,13.0,2021.0,1.0,13.0,0,0,-7.0
AR,5,South,2019,3,7,2019Q3,114.1,4.73707525686803,9.25,2.224623551524334,2.5878160202972187,0,True,1,13.0,2021.0,1.0,13.0,0,0,-6.0
AR,5,South,2019,4,8,2019Q4,113.5,4.7318028369214575,9.25,2.224623551524334,2.1289233684187354,0,True,1,13.0,2021.0,1.0,13.0,0,0,-5.0
AR,5,South,2020,1,9,2020Q1,107.0,4.672828834461906,10.0,2.302585092994046,2.2834708162989124,0,True,1,13.0,2021.0,1.0,13.0,0,0,-4.0
AR,5,South,2020,2,10,2020Q2,69.4,4.239886867512759,10.0,2.302585092994046,11.778195031064476,0,True,1,13.0,2021.0,1.0,13.0,0,0,-3.0
AR,5,South,2020,3,11,2020Q3,97.5,4.579852378003801,10.0,2.302585092994046,7.29926832542452,0,True,1,13.0,2021.0,1.0,13.0,0,0,-2.0
AR,5,South,2020,4,12,2020Q4,92.6,4.528289141652134,10.0,2.302585092994046,5.1659096629924575,0,True,1,13.0,2021.0,1.0,13.0,0,0,-1.0
AR,5,South,2021,1,13,2021Q1,89.8,4.497584975308154,11.0,2.3978952727983707,5.158377466274152,1,True,1,13.0,2021.0,1.0,13.0,1,1,0.0
AR,5,South,2021,2,14,2021Q2,97.5,4.579852378003801,11.0,2.3978952727983707,4.3886715789846,1,True,1,13.0,2021.0,1.0,13.0,1,1,1.0
