label,estimator,att,se,t_stat,p_val,ci_low,ci_high,n_gt_pairs,att_pct,significance
Baseline TWFE,TWFE,-0.0092379511838073,0.0020082111758774,-4.6000895198539915,2.9102126678060003e-05,-0.013174045088527,-0.0053018572790875,,-0.92379511838073,***
C-S (2021),CS-2021 (equal weights),-0.0132050057143482,0.0066765217182984,-1.9778271188959209,0.0479482130413997,-0.0262909882822132,-0.0001190231464833,84.0,-1.3205005714348286,**
"Excl. CA, NY, TX",,-0.009973823922720726,0.002029526100628565,,1.1230665560635344e-05,-0.013951695079952715,-0.005995952765488738,,,
Excl. COVID (2020Q2–2021Q1),,-0.00880581559559287,0.002250435440998649,,0.0002759427338865361,-0.013216669059950222,-0.004394962131235519,,,
Threshold $7.75,,-0.006961775616747069,0.006954128903301117,,0.3215990733003862,-0.020591868267217258,0.006668317033723119,,,
Threshold $8.25,,-0.006909147647874752,0.0029138643554940543,,0.021627847305029313,-0.012620321784643097,-0.001197973511106406,,,
Threshold $8.75,,-0.005658533182325478,0.0024863406215191943,,0.027173084169506367,-0.010531760800503099,-0.0007853055641478569,,,
Threshold $9.25,,-0.0063871490266791614,0.002247788001880147,,0.0064810118297800035,-0.01079281351036425,-0.001981484542994073,,,
Threshold $9.75,,-0.007531771466964977,0.0021757049725383048,,0.0011081525033331818,-0.011796153213140054,-0.0032673897207899,,,
Threshold $10.25,,-0.009354391476589823,0.0020411734809397514,,3.0841061855912955e-05,-0.013355091499231735,-0.00535369145394791,,,
